Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-7-9,61,MODERATE,63,MODERATE,PM2.5,3,1,25,38,17,63,66,57,77,8,10,29.98,0.15,Rain,67
2015-7-10,63,MODERATE,56,MODERATE,PM2.5,6,3,48,40,17,56,69,61,74,8,7,29.9,1.12,Rain,85
2015-7-11,56,MODERATE,54,MODERATE,PM2.5,6,6,20,44,19,54,76,57,49,8,10,30.01,0,,282
2015-7-12,54,MODERATE,59,MODERATE,PM2.5,5,1,16,45,19,59,81,61,54,9,10,29.95,0,,249
2015-7-13,59,MODERATE,72,MODERATE,PM2.5,5,1,33,54,24,72,72,65,81,6,10,29.91,0,,68
2015-7-14,72,MODERATE,49,GOOD,PM2.5,3,0,18,41,17,49,74,67,72,8,10,29.71,0.03,Rain,144
2015-7-15,49,GOOD,51,MODERATE,Ozone,5,1,25,51,8,33,75,68,87,7,10,29.67,T,Rain,99
2015-7-16,51,MODERATE,35,GOOD,Ozone,3,0,24,35,13,31,64,51,65,11,10,30.02,0,,59
2015-7-17,35,GOOD,54,MODERATE,Ozone,5,1,29,54,17,44,68,58,72,9,10,30.08,T,,151
2015-7-18,54,MODERATE,35,GOOD,Ozone,5,0,19,35,11,30,71,65,81,11,10,29.95,0.14,Rain,200
2015-7-19,35,GOOD,51,MODERATE,PM2.5,5,0,23,49,14,51,81,71,73,9,10,29.8,T,Rain,206
2015-7-20,51,MODERATE,55,MODERATE,PM2.5,5,1,24,51,18,55,81,66,62,9,10,29.66,T,,272
2015-7-21,55,MODERATE,55,MODERATE,PM2.5,6,6,35,51,10,55,76,63,66,7,10,29.61,T,,256
2015-7-22,55,MODERATE,33,GOOD,PM2.5,3,4,18,31,10,33,77,55,58,12,10,29.67,0,,309
2015-7-23,33,GOOD,36,GOOD,PM2.5,3,1,15,34,9,36,75,54,52,7,10,29.84,0,,303
2015-7-24,36,GOOD,36,GOOD,PM2.5,5,1,24,31,11,36,74,56,60,9,10,29.9,0.01,Rain,320
2015-7-25,36,GOOD,33,GOOD,PM2.5,5,0,15,25,9,33,66,59,81,9,10,30.02,0,,50
2015-7-26,33,GOOD,45,GOOD,PM2.5,5,0,11,44,12,45,71,64,79,8,10,30.01,T,Rain,181
2015-7-27,45,GOOD,50,GOOD,Ozone,5,1,28,50,10,39,77,67,74,8,10,30,0.06,Rain,200
2015-7-28,50,GOOD,71,MODERATE,Ozone,5,1,27,71,15,50,78,69,80,8,10,29.96,0,,181
2015-7-29,71,MODERATE,58,MODERATE,PM2.5,6,4,27,58,34,58,82,67,66,7,10,29.92,0,,190
2015-7-30,58,MODERATE,80,MODERATE,Ozone,5,1,32,80,20,56,83,70,73,14,10,29.82,0.02,Rain,223
