Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-6-5,38,GOOD,50,GOOD,NO2,10,1,50,39,17,40,63,54,80,3,6,30.08,0.13,Rain,81
2015-6-6,50,GOOD,46,GOOD,Ozone,7,1,42,46,.,34,68,54,60,5,6,29.93,0.19,Rain,328
2015-6-7,46,GOOD,49,GOOD,Ozone,7,1,34,49,.,37,65,42,44,4,10,30.15,0,,109
2015-6-8,49,GOOD,54,MODERATE,Ozone,6,1,48,54,.,40,71,58,63,6,10,29.93,0.06,Rain,197
2015-6-9,54,MODERATE,80,MODERATE,Ozone,6,1,37,80,.,52,76,63,65,5,9,29.71,0.01,Rain,258
2015-6-10,80,MODERATE,93,MODERATE,Ozone,6,3,42,93,.,55,74,56,53,3,10,29.86,0,,259
2015-6-11,93,MODERATE,154,UNHEALTHY,Ozone,7,3,39,154,41,90,81,64,58,5,7,29.88,0,,255
2015-6-12,154,UNHEALTHY,147,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,9,1,43,147,.,76,81,64,54,5,8,29.91,0,,114
2015-6-13,147,UNHEALTHY FOR SENSITIVE GROUPS,93,MODERATE,Ozone,7,1,39,93,.,52,79,59,48,5,10,29.92,0,,357
2015-6-14,93,MODERATE,119,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,8,1,50,119,.,79,77,59,64,3,8,30.04,0.36,Rain,140
2015-6-15,119,UNHEALTHY FOR SENSITIVE GROUPS,54,MODERATE,PM2.5,10,1,42,45,.,54,74,66,83,5,3,29.98,0.57,Rain,82
2015-6-16,54,MODERATE,55,MODERATE,PM2.5,10,3,40,44,.,55,72,66,74,2,5,29.89,0.27,Rain,242
2015-6-17,55,MODERATE,44,GOOD,Ozone,6,4,26,44,16,43,74,58,60,4,9,30.1,T,Rain,15
2015-6-18,44,GOOD,41,GOOD,Ozone,7,1,33,41,.,37,68,58,74,4,10,30.06,0,,177
2015-6-19,41,GOOD,48,GOOD,Ozone,6,1,30,48,.,46,78,62,66,4,9,29.92,0,,341
2015-6-20,48,GOOD,50,GOOD,PM2.5,10,1,33,47,.,50,70,59,70,5,7,30.03,T,Rain,80
2015-6-21,50,GOOD,43,GOOD,Ozone,8,1,26,43,.,40,80,69,72,5,5,29.77,0.64,Rain,269
2015-6-22,43,GOOD,84,MODERATE,Ozone,5,3,39,84,.,52,79,61,62,5,10,29.94,0,,273
2015-6-23,84,MODERATE,67,MODERATE,PM2.5,6,3,41,67,36,67,83,68,66,6,9,29.85,0.02,,243
2015-6-24,67,MODERATE,67,MODERATE,Ozone,6,6,29,67,.,52,76,54,50,5,10,29.98,0,,315
2015-6-25,67,MODERATE,54,MODERATE,Ozone,16,3,38,54,.,39,74,52,49,3,10,30.02,0,,273
2015-6-26,54,MODERATE,105,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,15,1,33,105,.,53,75,58,58,5,10,29.98,0,,79
2015-6-27,105,UNHEALTHY FOR SENSITIVE GROUPS,40,GOOD,Ozone,9,1,25,40,.,31,65,56,72,7,6,30.02,1.12,Rain,84
2015-6-28,40,GOOD,40,GOOD,Ozone,8,1,17,40,.,18,68,61,77,5,6,29.72,0.29,Rain,56
2015-6-29,40,GOOD,44,GOOD,Ozone,8,1,33,44,7,38,70,55,59,5,10,29.88,0,,262
2015-6-30,44,GOOD,46,GOOD,PM2.5,9,3,46,46,.,46,75,61,56,4,10,29.92,0,,173
2015-7-1,46,GOOD,108,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,9,1,41,108,.,69,76,65,68,4,6,29.8,0.39,Fog-Rain,274
2015-7-2,108,UNHEALTHY FOR SENSITIVE GROUPS,119,UNHEALTHY FOR SENSITIVE GROUPS,NO2,13,4,119,47,.,61,75,58,58,1,10,29.88,0,,228
2015-7-3,119,UNHEALTHY FOR SENSITIVE GROUPS,84,MODERATE,Ozone,11,1,34,84,.,48,74,54,52,3,10,29.96,0,,70
